Employee ID,Gender,Ethnicity,Age Group,Job Grade,Employment Type,Anual Salary,Year
1,Male,Asian,40-49,11,Casual,"$71,620.15",2024
2,Female,Hispanic,20-29,1,Full-Time,"$93,983.55",2022
3,Female,Asian,40-49,9,Full-Time,"$83,933.66",2022
4,Female,Hispanic,20-29,8,Part-Time,"$100,820.77",2023
5,Female,Black,30-39,3,Full-Time,"$105,301.61",2023
6,Female,Asian,40-49,3,Casual,"$32,939.92",2024
7,Female,Asian,50-59,11,Part-Time,"$79,480.79",2022
8,Female,Hispanic,30-39,10,Full-Time,"$104,079.39",2022
9,Female,White,20-29,7,Casual,"$70,474.28",2022
10,Male,African,20-29,11,Casual,"$39,997.73",2024
11,Female,Asian,30-39,10,Casual,"$106,238.25",2022
12,Male,Hispanic,50-59,3,Full-Time,"$29,330.69",2024
13,Male,Hispanic,20-29,8,Casual,"$82,042.12",2023
14,Female,Asian,20-29,7,Casual,"$119,610.32",2023
15,Male,Black,30-39,7,Part-Time,"$41,159.99",2023
16,Female,Hispanic,30-39,1,Casual,"$65,526.97",2023
17,Female,White,40-49,9,Casual,"$72,483.44",2023
18,Male,Hispanic,50-59,11,Casual,"$18,186.38",2023
19,Female,Asian,30-39,11,Full-Time,"$20,239.87",2024
20,Male,Black,20-29,3,Part-Time,"$16,031.66",2024
21,Male,Hispanic,40-49,9,Casual,"$37,629.57",2023
22,Male,White,50-59,5,Full-Time,"$11,837.54",2024
23,Female,Black,40-49,12,Casual,"$13,640.17",2024
24,Female,White,50-59,1,Casual,"$37,837.45",2022
25,Male,Hispanic,20-29,9,Part-Time,"$68,203.24",2023
26,Male,Black,30-39,7,Full-Time,"$66,043.76",2022
27,Male,White,50-59,9,Full-Time,"$101,831.43",2022
28,Male,African,20-29,12,Part-Time,"$13,246.69",2024
29,Female,African,20-29,9,Part-Time,"$32,519.26",2024
30,Male,Hispanic,50-59,5,Part-Time,"$38,744.74",2024
31,Male,African,30-39,11,Full-Time,"$91,574.72",2024
32,Female,Asian,20-29,2,Casual,"$40,749.81",2022
33,Male,Black,30-39,11,Full-Time,"$105,045.91",2024
34,Female,Asian,20-29,9,Casual,"$18,067.22",2023
35,Male,Asian,50-59,8,Casual,"$106,907.47",2023
36,Male,Hispanic,20-29,12,Casual,"$115,558.04",2022
37,Male,African,50-59,4,Part-Time,"$32,224.74",2024
